OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
139,18017,4.0,32-P,251.08173403,56.610996019689274,Sistemas Generales. Espacios libres
140,18017,5.0,02-A,1812.232564255,199.5297614526514,Sistemas Generales. Equipamientos
141,18017,5.0,07-P,733.562699045,110.05944762040174,Sistemas Generales. Equipamientos
142,18017,4.0,09-P,5682.863705535,428.5385496579722,Sistemas Generales. Espacios libres
143,18017,5.0,03-E,232.935018,73.69607063015398,Sistemas Generales. Equipamientos
144,18017,4.0,02-P,1269.60680713,145.2121082339885,Sistemas Generales. Espacios libres
145,18017,5.0,01-B,6768.78256838,346.5791521365248,Sistemas Generales. Equipamientos
146,18017,4.0,23-P,8630.964339275,730.9108470075221,Sistemas Generales. Espacios libres
147,18017,4.0,09-P,1470.160911165,245.53303118526614,Sistemas Generales. Espacios libres
148,18017,5.0,02-E,708.804600085,104.92928703711726,Sistemas Generales. Equipamientos
149,18017,5.0,11-E,13249.282691615,563.3935349940837,Sistemas Generales. Equipamientos
150,18017,5.0,25-A,274.0536048,68.3511752072119,Sistemas Generales. Equipamientos
151,18017,5.0,14-E,12405.44557512,500.25821024365666,Sistemas Generales. Equipamientos
152,18017,5.0,05-AP,3385.5347635,228.76220481932214,Sistemas Generales. Equipamientos
153,18017,4.0,03-P,559.20051038,96.11872382980307,Sistemas Generales. Espacios libres
154,18017,4.0,34-P,2513.871087035,242.7790316703992,Sistemas Generales. Espacios libres
155,18017,4.0,29-P,137.333863,53.832030084923375,Sistemas Generales. Espacios libres
156,18017,4.0,31-P,2719.73044516,348.3851644099624,Sistemas Generales. Espacios libres
157,18017,4.0,16-P,570.78368896,96.7102803952939,Sistemas Generales. Espacios libres
158,18017,2.0,SUC-CA,20666.24381969,800.4007288408026,Residencial
159,18017,4.0,29-P,1448.871872145,161.84076745223288,Sistemas Generales. Espacios libres
160,18017,2.0,SUC-PDU-P4,105109.03967088,2763.778036665157,Residencial
161,18017,4.0,14-P,19950.052904625,1109.474998854542,Sistemas Generales. Espacios libres
162,18017,2.0,SUC-PDU-P16,100836.67441354,1480.6858545610844,Residencial
163,18017,5.0,12-A,3600.635592735,292.72791451650863,Sistemas Generales. Equipamientos
164,18017,5.0,12-E,244.845464645,73.34869687091829,Sistemas Generales. Equipamientos
165,18017,4.0,12-P,269.937382405,67.46082659953798,Sistemas Generales. Espacios libres
166,18017,5.0,04-A,6408.42818252,345.0814327376014,Sistemas Generales. Equipamientos
167,18017,5.0,01-D,1487.067605375,161.25942668507648,Sistemas Generales. Equipamientos
168,18017,4.0,22-P,1790.5698871,210.50700153787992,Sistemas Generales. Espacios libres
169,18017,4.0,16-P,192.243856755,59.498277555128745,Sistemas Generales. Espacios libres
170,18017,5.0,10-E,19832.030630955,586.9683154403828,Sistemas Generales. Equipamientos
171,18017,5.0,06-E,375.598303355,88.05312561263125,Sistemas Generales. Equipamientos
172,18017,4.0,15-P,738.970328005,116.64102089597685,Sistemas Generales. Espacios libres
173,18017,5.0,01-E,5487.584406735,312.71768343310663,Sistemas Generales. Equipamientos
174,18017,5.0,10-P,463.68746339,90.21361825642012,Sistemas Generales. Equipamientos
175,18017,5.0,23-A,437.55663677,96.306832582191,Sistemas Generales. Equipamientos
176,18017,5.0,04-D,35489.954216605,1267.3169043171863,Sistemas Generales. Equipamientos
177,18017,2.0,SUC-PDU-P7 MARINA DEL ESTE,41015.952359605,887.2851381037237,Residencial
178,18017,6.0,03-SGI,932.571421055,129.7739538423074,Sistemas Generales. Infraestructuras
179,18017,4.0,33-P,3669.87469465,269.7603791645029,Sistemas Generales. Espacios libres
180,18017,2.0,SUC-CA,259450.064784265,9208.281647352209,Residencial
181,18017,2.0,SUC-PDU-CERCADO,77117.289149625,1731.8246637547538,Residencial
182,18017,4.0,21-P,503.931729625,98.39608150965826,Sistemas Generales. Espacios libres
183,18017,4.0,12-P,1129.450948565,153.55423337563724,Sistemas Generales. Espacios libres
184,18017,5.0,05-A,230.072595895,87.1325153370438,Sistemas Generales. Equipamientos
185,18017,4.0,37-P,960.88262618,202.76519172463148,Sistemas Generales. Espacios libres
186,18017,5.0,01-A,387.859199445,84.96504686941597,Sistemas Generales. Equipamientos
187,18017,4.0,39-P,5933.158415155,402.8437001070263,Sistemas Generales. Espacios libres
188,18017,5.0,02-D,9133.246057765,742.3872003372709,Sistemas Generales. Equipamientos
189,18017,4.0,04-P,2526.150484645,211.7845812602925,Sistemas Generales. Espacios libres
190,18017,4.0,09-P,1750.68760579,239.18106901643966,Sistemas Generales. Espacios libres
191,18017,5.0,14-A,10391.79392278,699.0364473355068,Sistemas Generales. Equipamientos
192,18017,2.0,SUC-PDU-P1,219199.51979068,3422.0415627982484,Residencial
193,18017,4.0,31-P,5699.19129402,355.29764325932064,Sistemas Generales. Espacios libres
194,18017,5.0,24-A,3801.18496593,280.46815048366534,Sistemas Generales. Equipamientos
195,18017,2.0,SUC-PDU-P9,64550.88534804,1474.7038361285563,Residencial
