codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial,poblacion_2025_norm,precio_venta_eur_m2_norm,precio_alquiler_eur_m2_mes_norm,suelo_residencial_m2_por_hab_norm,reserva_suelo_hab_norm,indice_expansion_norm,densidad_residencial_norm,precio_venta_score,precio_alquiler_score,coopscore,factor_escala
18193,"Zubia, La",20389,,,,,,,,210.45425625247583,"ZUBIA, LA",,,0.0,,,,785.0,8.64,,,,,0.0,0.0,47.516375807072556,0.08659915496330761,0.12466436517069429,0.5993623804463337,0.13612467717814927,0.0,0.0,0.04636873289466367,0.8753356348293058,0.4006376195536663,15.398976650834317,9.922799863568502
18089,Guadix,18881,7.0,3460927.704705036,346.0927704705035,494418.2435292908,118598.31068981,2848795.577879405,43493.53974159458,183.30213996637016,GUADIX,438023.0,353243.0,791266.0,23.199141994597746,18.708913722790108,Comarca de Guadix,839.0,8.64,18800.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,41.90805571738785,0.2286282949292167,54.55473679595157,0.080150190731966,0.1453778289221327,0.5993623804463337,0.11756618992895039,0.02217865533768994,0.022938377959392058,0.05438076161134527,0.8546221710778673,0.4006376195536663,15.324332519709793,9.845964366292462
18127,Maracena,22294,4.0,1233802.696448645,123.38026964486453,308450.6741121613,31368.636630975,1169108.105312765,23592.45478217816,55.34236549962524,MARACENA,144633.98034669,491263.0,635896.9803466899,6.487574250771059,22.035659818785323,Área Metropolitana,1604.0,8.43,19200.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,28.52323406955638,0.5153960047072713,180.6933966360313,0.09474589028207804,0.4388185654008439,0.5770456960680128,0.030105609772748926,0.015095116361661094,0.05170990912737286,0.19796910078850533,0.5611814345991561,0.4229543039319872,14.433724399280404,10.012117717061576
18102,Íllora,9923,9.0,2251831.87769618,225.183187769618,250203.5419662422,155067.84794378,826560.62501125,41696.83217624153,226.93055302793303,ILLORA,,,0.0,,,Poniente Granadino,559.0,8.64,10500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,44.06634482034286,0.04184129047708651,0.03797468354430378,0.5993623804463337,0.14738623559220965,0.0,0.0,0.042441433998969755,0.9620253164556962,0.4006376195536663,13.981877898122226,9.202711344811691
18003,Albolote,19768,1.0,2949835.53132449,294.983553132449,2949835.53132449,2949835.53132449,2949835.53132449,42092.590074378,149.22276058905757,ALBOLOTE,828396.0,2047817.13671875,2876213.13671875,41.905908539053016,103.5925301860962,Área Metropolitana,1622.0,8.88,19800.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,145.49843872514924,0.9750418645975549,67.01390565705226,0.08394344754443285,0.44572305331798995,0.6248671625929862,0.09427291433414489,0.07700094097465378,0.09782638156529821,0.0685634980266627,0.5542769466820101,0.37513283740701375,13.961870862654377,9.891870333195937
18175,Santa Fe,15494,,,,,,,,210.45425625247583,SANTA FE,128745.0,371690.0,500435.0,8.309345553117335,23.98928617529366,Vega de Granada,1029.0,8.64,14500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,32.298631728410996,0.0,47.516375807072556,0.06566568022032536,0.2182585347142309,0.5993623804463337,0.13612467717814927,0.017093138985357203,0.0,0.04636873289466367,0.781741465285769,0.4006376195536663,13.952510775324962,9.648272670221848
18158,Pinos Puente,9807,4.0,1653602.592447675,165.36025924476752,413400.6481119188,358467.779578945,894986.912775925,38855.98331832877,168.6145194705491,PINOS PUENTE,322508.0,461271.0,783779.0,32.88548995615377,47.03487304986234,Vega de Granada,870.0,8.64,9800.0,E,Estimación por comarca/tipología,2026-05,79.92036300601612,0.4739826870008981,59.30687363935251,0.04134521630544485,0.15726889144610662,0.5993623804463337,0.10752719279073278,0.042295595804461704,0.047554892643541416,0.05979029614858886,0.8427311085538933,0.4006376195536663,13.723929850502913,9.190953658175992
18905,"Gabias, Las",23584,1.0,3682034.79609754,368.203479609754,3682034.79609754,3682034.79609754,3682034.79609754,40983.79038535671,156.1242705265239,LAS GABIAS,,,0.0,,,Área Metropolitana,1601.0,8.4,25600.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,64.05154026517037,0.10026257719085171,0.4376678174146528,0.5738575982996812,0.09899010038421459,0.0,0.0,0.06519132705865419,0.5623321825853471,0.4261424017003188,13.572044207076393,10.068366195718362
18100,Huétor Tájar,10749,7.0,1256013.982699005,125.6013982699005,179430.5689570007,11955.434537775,1038148.994018585,24824.48939516503,116.84937972825423,HUETOR TAJAR,,,0.0,,,Vega de Granada,785.0,8.64,7700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,85.58025744985613,0.045373680699293525,0.12466436517069429,0.5993623804463337,0.07214568971607266,0.0,0.0,0.08969826846014814,0.8753356348293058,0.4006376195536663,13.321897424272912,9.28266103355581
18150,Padul,9667,1.0,1625682.434090665,162.5682434090665,1625682.434090665,1625682.434090665,1625682.434090665,19193.902320659738,168.16824600089635,PADUL,784786.0,144000.0,928786.0,81.18195924278473,14.89603806765284,Sur de Granada,1066.0,8.64,8500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,96.07799731043757,0.5713206838699231,59.46425819263584,0.04074650609829111,0.23245109321058688,0.5993623804463337,0.10722216461506734,0.05084656759677789,0.05732085692492261,0.05996945285317685,0.7675489067894131,0.4006376195536663,13.297841512033335,9.176576741823373
