codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio,superficie_residencial_ha,cluster,suelo_por_habitante,score_poblacion,score_superficie,score_suelo_hab,coopscore_v1,oportunidad,log_poblacion,score_log_poblacion,coopscore_v2,PCA1,PCA2
18138,Moraleda de Zafayona,3214,656131.18305812,4,164032.79576453,,,,65.613118305812,0,204.14784787122588,0.05047017214502422,0.17218887417797618,0.13181424338733796,12.356087433089913,Baja,8.07558263667172,0.4853240406442967,28.73492830668448,0.12312934514550057,0.42525556344725124
18147,Órgiva,5728,653391.71229874,1,653391.71229874,,,,65.33917122987401,1,114.06978217505937,0.09260966492901324,0.17143942387701272,0.07024583317430952,11.743241898180191,Baja,8.653296274408579,0.5870038649316955,31.236680262321002,-0.17973633783957924,-0.5410859752050956
18135,Montefrío,5283,644935.961623935,6,107489.3269373225,,,,64.4935961623935,0,122.07760015595969,0.08515060594378049,0.16912614315795185,0.07571918141451621,11.591139347066974,Baja,8.572438665642215,0.572772614508267,30.723299126221903,0.6156206866325847,0.9169988226328658
18146,Orce,1116,630004.49996642,6,105000.74999440332,,,,63.000449996642,0,564.520161260233,0.015303642367455038,0.16504127078078443,0.3781289288623911,18.404627968126757,Baja,7.018401799069201,0.29925614335780115,27.199913433199274,0.26925140687241816,1.1013604617024106
18048,Cijuela,3827,595273.93657457,1,595273.93657457,,,,59.527393657457004,1,155.54584180156,0.06074523542131111,0.15553986212455767,0.09859474401479942,11.001793868065622,Baja,8.250097752572845,0.5160393728802373,28.550338689938997,-0.3779387994072704,-0.43135348134439977
18914,Valderrubio,2069,594343.28770578,1,594343.28770578,,,,59.434328770578,1,287.26113470554856,0.03127776194706582,0.155285260000254,0.18862222320374344,12.808409954534438,Baja,7.635303886259415,0.4078332856142244,26.463871104671455,-0.5198619516880525,-0.3562553880087253
18099,Huétor de Santillán,1964,583788.93253594,1,583788.93253594,,,,58.37889325359399,1,297.24487399996946,0.029517759265156974,0.15239785387210744,0.19544611480918894,12.844830377114674,Baja,7.583247524303362,0.39867116550664305,26.166924376019207,-0.5365621954562794,-0.3465261319504617
18006,Albuñol,7388,575638.38780028,10,57563.838780028,,,,57.563838780028,0,77.91532049272875,0.12043446923347693,0.15016806982194328,0.045534237618992425,10.985783998451812,Baja,8.907747686788648,0.6317882930816687,31.665770107509573,1.400580507755347,2.0102222585349367
18164,Puebla de Don Fadrique,2195,560606.84290292,2,280303.42145146,,,,56.060684290291995,1,255.40175075303873,0.03338976516535644,0.1460558171874884,0.16684631577097564,11.849315115589498,Baja,7.694392802629421,0.418233162372148,26.012437990722404,-0.3686236009266517,-0.057760102601740915
18046,Castril,1927,547111.8837448651,5,109422.376748973,,,,54.711188374486504,0,283.9189848183005,0.028897567843912907,0.1423639357655516,0.18633786181497228,12.151620320388618,Baja,7.564238475170491,0.39532549967941333,25.45420428434515,0.10191379635270639,0.8213395640849391
18194,Zújar,2655,542368.16137027,2,271184.080685135,,,,54.236816137027,1,204.28179335980036,0.04110025310514759,0.14106617263040788,0.13190579520656281,10.832828354567628,Baja,7.884576510596324,0.4517062271316281,26.303210007493472,-0.3459648101431968,-0.06817894525278978
18119,Lecrín,2244,529627.444430285,1,529627.444430285,,,,52.9627444430285,1,236.01936026305037,0.034211099750247234,0.13758063290983674,0.15359844061542052,11.137511527363502,Baja,7.716460800176355,0.4221172148964005,25.539971763085823,-0.5564982012928995,-0.3313607943855265
18097,Huéneja,1180,504039.40004152,4,126009.85001038,,,,50.403940004152,1,427.1520339334915,0.01637640590690424,0.1305803875147857,0.28423773406280883,14.241639699682821,Baja,7.074116816197362,0.3090622008605344,24.038744949009097,-0.15936415009469407,0.5875720560167352
18182,Ugíjar,2574,500769.79577499,5,100153.959154998,,,,50.076979577499,0,194.54926020784382,0.03974253675053219,0.12968590601933913,0.12525360314537093,10.13732043765066,Baja,7.853604813097837,0.4462550891389967,25.52055035487101,0.11757835676489561,0.817018870064478
18082,Galera,1139,485445.854619945,7,69349.40780284928,,,,48.5445854619945,0,426.20355980679983,0.015689166764444595,0.12549366112266636,0.2835894514464218,13.998104991232646,Baja,7.038783541388542,0.30284340847035773,23.595750764268175,0.3254111225372825,1.4595813948630485
18088,Guadahortuna,1829,479490.480755405,1,479490.480755405,,,,47.949048075540496,1,262.1599129335183,0.027254898674131313,0.12386442061340107,0.17146552354590067,10.916189491137002,Baja,7.512071245835466,0.38614386648632304,24.06764746956948,-0.6291009164969984,-0.2887004226134414
18171,Salar,2582,469554.56567238,2,234777.28283619,,,,46.955456567237995,1,181.85691931540666,0.03987663219296334,0.12114620413898762,0.1165783807747553,9.539498554591063,Baja,7.8567067930958405,0.4468010495604533,25.02661864665158,-0.40886214426634626,-0.028711256783276823
18061,Chimeneas,1265,402728.7183331,2,201364.35916655,,,,40.272871833310006,1,318.3626231882214,0.01780116998273521,0.1028643330041785,0.2098801086427563,10.945011678931886,Baja,7.143617602704121,0.3212946068454907,21.699038645034786,-0.5669814735036862,0.060577857150936915
18188,Villanueva Mesía,1965,400773.508574315,2,200386.7542871575,,,,40.0773508574315,1,203.955984007285,0.029534521195460867,0.10232943678849492,0.13168310432491612,8.929706237151107,Baja,7.583756300707112,0.39876071211235864,22.824036380214572,-0.5122923099092321,0.031836984142403935
18054,Cortes y Graena,949,398208.557558975,5,79641.711511795,,,,39.8208557558975,0,419.60859595255533,0.012504400006704774,0.1016277307002583,0.2790817898222501,12.812694922878979,Baja,6.856461984594587,0.27075411258453275,21.364179823446605,-0.09326931785611178,0.9372326030445112
18085,Gor,766,389091.148426845,8,48636.39355335563,,,,38.909114842684495,0,507.95189089666445,0.009436966761092208,0.0991334368682524,0.33946448321883965,14.432380974128051,Baja,6.642486801367256,0.23309365658828862,21.28002863439137,0.38752377517376246,1.8105372444961292
18116,Lanjarón,3708,380802.31214644,1,380802.31214644,,,,38.080231214643995,1,102.69749518512405,0.05875056571514776,0.09686581972953454,0.062472868412629244,7.511335813014691,Baja,8.21851757748959,0.5104811404902079,25.371371020457754,-0.5554902641449283,-0.319178264363362
18136,Montejícar,1989,380215.725686385,1,380215.725686385,,,,38.0215725686385,1,191.1592386557994,0.02993680752275432,0.09670534442695135,0.12293652144591165,8.454413646138033,Baja,7.595889917718538,0.4008962754176071,22.493951107795375,-0.6940116208765191,-0.24590770825258876
18152,Pedro Martínez,1166,370307.81751789,1,370307.81751789,,,,37.030781751789,1,317.58817968944254,0.016141738882649727,0.09399478993996803,0.20935077606160987,10.52456704592651,Baja,7.062191632286556,0.30696332258340764,20.802119952775435,-0.7678718461279024,-0.20601972164601262
18126,"Malahá, La",1928,369787.50396414,1,369787.50396414,,,,36.978750396414,1,191.79849790671162,0.0289143297742168,0.09385244523775935,0.12337345551513769,8.322731368191008,Baja,7.564757012905729,0.3954167643170492,22.185842543881986,-0.7070791949797159,-0.23810940682754794
18114,"Calahorra, La",680,368001.905389055,1,368001.905389055,,,,36.800190538905504,1,541.1792726309633,0.007995440754957343,0.09336395037614591,0.36217541792987734,14.839683775590876,Baja,6.523562306149512,0.21216248760190637,20.808623215488296,-0.808711253099942,-0.18423557360384107
18095,Güevéjar,2723,360411.9997681,3,120137.33325603337,,,,36.04119997681,1,132.35842811902313,0.04224006436581237,0.09128754308746342,0.08274613329750276,7.40108765339799,Baja,7.909856667269403,0.45615563202805065,23.509942621620816,-0.3154840919334146,0.3068107109320676
18094,Güéjar Sierra,2915,353989.19084915,1,353989.19084915,,,,35.398919084915,1,121.43711521411664,0.045458354984159975,0.08953042410349318,0.07528140958482717,7.2034099012093415,Baja,7.977968093128549,0.46814350519035397,23.741340290857103,-0.6401827540460655,-0.27212014869909307
18012,Algarinejo,2335,338713.850296275,3,112904.616765425,,,,33.8713850296275,1,145.0594647949786,0.03573643540790157,0.08535147510924922,0.09142729924120291,7.228971043843102,Baja,7.756195343948118,0.42911064756778416,22.437410012565163,-0.3636423942914709,0.33412035669608214
18167,Purullena,2409,328135.94728009496,2,164067.97364004748,,,,32.8135947280095,1,136.21251443756537,0.03697681825038971,0.08245762688258196,0.08538040353435275,6.9690217288455525,Baja,7.787382026484701,0.43459962375475625,22.40451197943944,-0.5335287814123456,0.04926828702333544
