codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial
18014,Alhendín,10475,6.0,1176891.2085074452,117.68912085074452,196148.5347512409,56885.16925854,903540.70085517,17774.226437022084,112.3523826737418,ALHENDIN,,,0.0,,,Área Metropolitana,1794.0,,9200.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,89.00567804635558
18011,Alfacar,5834,1.0,1168742.807089185,116.8742807089185,1168742.807089185,1168742.807089185,1168742.807089185,21581.511910370948,200.3330145850506,ALFACAR,287997.0,313261.0,601258.0,49.36527254028111,53.6957490572506,Área Metropolitana,1218.0,3.08,6400.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,103.0610215975317,0.5144485136960666,49.91688474669531
18039,Caniles,3929,1.0,1139734.1608286,113.97341608286,1139734.1608286,1139734.1608286,1139734.1608286,14369.837907926109,290.0825046649529,CANILES,87061.75,128000.0,215061.75,22.15875540850089,32.578264189361164,,,,,,,,54.73701959786205,0.18869466002813112,34.47295110592782
18071,Dúrcal,7234,1.0,1066737.592864735,106.67375928647353,1066737.592864735,1066737.592864735,1066737.592864735,22615.52487161055,147.4616523174917,DURCAL,,,0.0,,,Sur de Granada,870.0,,4400.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,67.81424080661688
18036,Cájar,5511,1.0,970868.41718614,97.086841718614,970868.41718614,970868.41718614,970868.41718614,10763.56098432788,176.16919201345308,CAJAR,,,0.0,,,Área Metropolitana,1692.0,,3200.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,56.76361391971619
18053,Cortes de Baza,1769,8.0,959226.327450755,95.9226327450755,119903.29093134438,100042.6668687675,383662.36889697,25198.70554372349,542.2421297064755,CORTES DE BAZA,229400.0,104266.0,333666.0,129.67778405879028,58.94064443188242,,,,,,,,188.6184284906727,0.347849084675097,18.441945861737384
18115,Láchar,3892,1.0,945575.919123405,94.5575919123405,945575.919123405,945575.919123405,945575.919123405,7349.554143394196,242.953730504472,LACHAR,,,0.0,,,Vega de Granada,740.0,,2400.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,41.16010064647241
18059,Chauchina,5817,1.0,940580.76074009,94.058076074009,940580.76074009,940580.76074009,940580.76074009,19400.21415153733,161.69516258210243,CHAUCHINA,60825.0,173500.0,234325.0,10.456420835482207,29.82637098160564,Vega de Granada,720.0,,2000.0,E,Estimación por comarca/tipología,2026-05,40.28279181708785,0.24912799600070795,61.84476913415634
18912,Cuevas del Campo,1841,1.0,861990.633089165,86.1990633089165,861990.633089165,861990.633089165,861990.633089165,13159.483462733971,468.2187034704861,CUEVAS DEL CAMPO,63340.0,0.0,63340.0,34.40521455730581,0.0,,,,,,,,34.40521455730581,0.07348107690335895,21.357540666101016
18013,Alhama de Granada,5544,5.0,861031.63177184,86.103163177184,172206.326354368,32031.06669603,621286.61306241,18792.36401798147,155.30873588958153,ALHAMA DE GRANADA,53663.04052737,269010.4482422,322673.48876957,9.679480614604978,48.52280812449495,Alhama,753.0,,6500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,58.20228873909993,0.37475218895915485,64.38787839410148
