codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,municipio_merge,precio_venta_eur_m2,comarca,precio_imputado,score_precio,distancia_capital_km,distancia_costa_km,score_capital_norm,score_litoral,suelo_por_habitante,log_poblacion,score_superficie,score_log_poblacion,score_suelo_hab,coopscore_v6,IVU,IVEC,perfil_municipio
18079,Fuente Vaqueros,4743,697791.062137475,1,697791.062137475,fuente vaqueros,863.0,Vega de Granada,False,0.12121212121212122,20.89,57.1,0.8972623999006766,0,147.12019020397955,8.464635940677562,0.18358596933119875,0.5537989199023219,0.09283580625494955,36.315513790790085,29.909620652221957,27.000441644577723,Equilibrado
18105,Iznalloz,5179,689562.75089145,2,344781.375445725,iznalloz,1142.0,,False,0.2324561403508772,37.36,21.6,0.7950214165994165,0,133.14592602653985,8.55256033525353,0.18133491031965804,0.5692739518335095,0.08328438857460242,36.21664892885544,27.465705505209304,32.06920368737547,Equilibrado
18045,Castilléjar,1284,684700.617528105,1,684700.617528105,castillejar,1142.0,,False,0.2324561403508772,124.49,187.6,0.2541436464088398,0,533.2559326542874,7.158513997329321,0.18000475291607687,0.3239164296467312,0.35675981045461574,24.90855666008722,24.78590488761911,22.254902799904336,Equilibrado
18140,Motril,59862,676210.490344715,9,75134.49892719055,motril,1491.0,Costa Tropical,False,0.37161084529505584,69.13,102.5,0.5978024706685704,1,11.296155997873692,10.999813897090403,0.1776820676488503,1.0000000000000002,0.0,54.05495130087075,20.840152795813925,74.86443381180226,Potencial Económico
18138,Moraleda de Zafayona,3214,656131.18305812,4,164032.79576453,moraleda de zafayona,808.0,Vega de Granada,False,0.0992822966507177,35.74,116.1,0.8050779067601962,0,204.14784787122588,8.07558263667172,0.17218887417797618,0.4853240406442967,0.13181424338733796,32.87828500350848,28.665429145722875,23.384253491800578,Equilibrado
18147,Órgiva,5728,653391.71229874,1,653391.71229874,orgiva,1142.0,,False,0.2324561403508772,63.01,40.2,0.6357936557204047,0,114.06978217505937,8.653296274408579,0.17143942387701272,0.5870038649316955,0.07024583317430952,34.76819069900632,23.395219303488016,32.77840021130291,Equilibrado
18135,Montefrío,5283,644935.961623935,6,107489.3269373225,montefrio,661.0,Comarca de Loja,False,0.040669856459330134,50.86,59.8,0.7112173319262525,0,122.07760015595969,8.572438665642215,0.16912614315795185,0.572772614508267,0.07571918141451621,34.039170934022,24.95222923885813,24.537698838703886,Equilibrado
18146,Orce,1116,630004.49996642,6,105000.74999440332,orce,1142.0,,False,0.2324561403508772,138.18,55.6,0.16916009684027555,0,564.520161260233,7.018401799069201,0.16504127078078443,0.29925614335780115,0.3781289288623911,22.885580453631547,22.979133341716466,21.268491348347133,Equilibrado
18048,Cijuela,3827,595273.93657457,1,595273.93657457,cijuela,985.0,Vega de Granada,False,0.16985645933014354,20.08,73.6,0.9022906449810665,0,155.54584180156,8.250097752572845,0.15553986212455767,0.5160393728802373,0.09859474401479942,34.3634094117772,28.780648326293196,27.435833288415235,Equilibrado
18914,Valderrubio,2069,594343.28770578,1,594343.28770578,valderrubio,1142.0,,False,0.2324561403508772,56.02,67.5,0.6791855484511764,0,287.26113470554856,7.635303886259415,0.155285260000254,0.4078332856142244,0.18862222320374344,29.549507514810326,27.00664066514853,25.611577038604068,Equilibrado
18099,Huétor de Santillán,1964,583788.93253594,1,583788.93253594,huetor de santillan,1142.0,,False,0.2324561403508772,12.75,51.6,0.9477931591036067,0,297.24487399996946,7.583247524303362,0.15239785387210744,0.39867116550664305,0.19544611480918894,31.882089119138612,32.43913931995318,25.245092234300813,Equilibrado
18006,Albuñol,7388,575638.38780028,10,57563.838780028,albunol,941.0,Costa Tropical,False,0.15231259968102073,103.82,102.1,0.3824570116084176,0,77.91532049272875,8.907747686788648,0.15016806982194328,0.6317882930816687,0.045534237618992425,32.40994819230562,16.523570851835288,31.364035710507576,Equilibrado
18164,Puebla de Don Fadrique,2195,560606.84290292,2,280303.42145146,puebla de don fadrique,1142.0,,False,0.2324561403508772,165.43,218.3,0.0,0,255.40175075303873,7.694392802629421,0.1460558171874884,0.418233162372148,0.16684631577097564,22.58085814405142,12.308180332503687,26.02757210892101,Equilibrado
18046,Castril,1927,547111.8837448651,5,109422.376748973,castril,1142.0,,False,0.2324561403508772,141.25,64.4,0.15010242721460043,0,283.9189848183005,7.564238475170491,0.1423639357655516,0.39532549967941333,0.18633786181497228,23.345813832623882,15.710381187018758,25.111265601211624,Equilibrado
18194,Zújar,2655,542368.16137027,2,271184.080685135,zujar,1142.0,,False,0.2324561403508772,98.35,67.5,0.4164131851759886,0,204.28179335980036,7.884576510596324,0.14106617263040788,0.4517062271316281,0.13190579520656281,27.392504497251164,19.33874619123705,27.366494699300215,Equilibrado
18119,Lecrín,2244,529627.444430285,1,529627.444430285,lecrin,1142.0,,False,0.2324561403508772,34.94,64.2,0.8100440747408282,0,236.01936026305037,7.716460800176355,0.13758063290983674,0.4221172148964005,0.15359844061542052,30.38813052853518,27.687866358771018,26.182934209891112,Equilibrado
18097,Huéneja,1180,504039.40004152,4,126009.85001038,hueneja,1142.0,,False,0.2324561403508772,78.8,95.9,0.5377739152026817,0,427.1520339334915,7.074116816197362,0.1305803875147857,0.3090622008605344,0.28423773406280883,24.769887787545493,25.811629701677184,21.660733648456464,Equilibrado
18182,Ugíjar,2574,500769.79577499,5,100153.959154998,ugijar,1142.0,,False,0.2324561403508772,109.77,10.9,0.3455211372524676,0,194.54926020784382,7.853604813097837,0.12968590601933913,0.4462550891389967,0.12525360314537093,26.027962936274523,17.152326140377436,27.14844917959496,Equilibrado
18082,Galera,1139,485445.854619945,7,69349.40780284928,galera,1142.0,,False,0.2324561403508772,137.47,118.4,0.1735675709230864,0,426.20355980679983,7.038783541388542,0.12549366112266636,0.30284340847035773,0.2835894514464218,20.725648361205312,18.253718017987698,21.4119819528494,Equilibrado
18088,Guadahortuna,1829,479490.480755405,1,479490.480755405,guadahortuna,1142.0,,False,0.2324561403508772,57.42,197.8,0.6704947544850705,0,262.1599129335183,7.512071245835466,0.12386442061340107,0.38614386648632304,0.17146552354590067,27.432173530554437,24.74708182674848,24.744000273488012,Equilibrado
18171,Salar,2582,469554.56567238,2,234777.28283619,salar,1142.0,,False,0.2324561403508772,49.76,34.2,0.7180458128996213,0,181.85691931540666,7.8567067930958405,0.12114620413898762,0.4468010495604533,0.1165783807747553,29.386676517978582,23.915577888184465,27.170287596453225,Equilibrado
18061,Chimeneas,1265,402728.7183331,2,201364.35916655,chimeneas,1142.0,,False,0.2324561403508772,25.1,38.2,0.871127940902601,0,318.3626231882214,7.143617602704121,0.1028643330041785,0.3212946068454907,0.2098801086427563,26.81792409194638,28.862178727543636,22.150029887854718,Equilibrado
18188,Villanueva Mesía,1965,400773.508574315,2,200386.7542871575,villanueva mesia,1142.0,,False,0.2324561403508772,43.53,87.9,0.7567198460487926,0,203.955984007285,7.583756300707112,0.10232943678849492,0.39876071211235864,0.13168310432491612,27.58446541702135,24.201361890148082,25.248674098529435,Equilibrado
18054,Cortes y Graena,949,398208.557558975,5,79641.711511795,cortes y graena,1142.0,,False,0.2324561403508772,50.44,152.8,0.7138245701160841,0,419.60859595255533,6.856461984594587,0.1016277307002583,0.27075411258453275,0.2790817898222501,24.124708816105414,27.730331632002102,20.1284101174164,Equilibrado
18085,Gor,766,389091.148426845,8,48636.39355335563,gor,1142.0,,False,0.2324561403508772,72.47,97.9,0.5770687193494319,0,507.95189089666445,6.642486801367256,0.0991334368682524,0.23309365658828862,0.33946448321883965,21.955560998416036,26.681980726966447,18.621991877566636,Equilibrado
18116,Lanjarón,3708,380802.31214644,1,380802.31214644,lanjaron,1142.0,,False,0.2324561403508772,45.35,37.1,0.745421813892855,0,102.69749518512405,8.21851757748959,0.09686581972953454,0.5104811404902079,0.062472868412629244,30.498371132500207,21.625913316712705,29.717491233643408,Equilibrado
18136,Montejícar,1989,380215.725686385,1,380215.725686385,montejicar,1142.0,,False,0.2324561403508772,56.02,38.8,0.6791855484511764,0,191.1592386557994,7.595889917718538,0.09670534442695135,0.4008962754176071,0.12293652144591165,26.599558095284813,22.107073833748448,25.33409663073937,Equilibrado
18152,Pedro Martínez,1166,370307.81751789,1,370307.81751789,pedro martinez,1142.0,,False,0.2324561403508772,68.97,48.8,0.5987957042646967,0,317.58817968944254,7.062191632286556,0.09399478993996803,0.30696332258340764,0.20935077606160987,23.2772794433356,22.95617686414063,21.576778517371395,Equilibrado
18126,"Malahá, La",1928,369787.50396414,1,369787.50396414,la malaha,1142.0,,False,0.2324561403508772,129.68,97.2,0.22192563163448997,0,191.79849790671162,7.564757012905729,0.09385244523775935,0.3954167643170492,0.12337345551513769,21.739693907668965,12.832338560031896,25.114916186717057,Equilibrado
18114,"Calahorra, La",680,368001.905389055,1,368001.905389055,la calahorra,1142.0,,False,0.2324561403508772,72.59,146.4,0.5763237941523371,0,541.1792726309633,6.523562306149512,0.09336395037614591,0.21216248760190637,0.36217541792987734,21.24069815180836,27.059935939750357,17.784745118111346,Equilibrado
18095,Güevéjar,2723,360411.9997681,3,120137.33325603337,guevejar,1142.0,,False,0.2324561403508772,9.44,11.3,0.9683406791234713,0,132.35842811902313,7.909856667269403,0.09128754308746342,0.45615563202805065,0.08274613329750276,30.833659955007114,26.413574735767682,27.544470895157115,Equilibrado
