codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab
18167,Purullena,2409,2.0,328135.94728009496,32.8135947280095,164067.97364004748,164067.97364004748,173069.859123515,12237.143041961972,136.21251443756537
18157,Pinos Genil,1642,2.0,311292.158194865,31.129215819486497,155646.0790974325,155646.0790974325,210495.863056425,11981.568587710904,189.5810951247655
18187,Villanueva de las Torres,491,1.0,294168.155933855,29.416815593385497,294168.155933855,294168.155933855,294168.155933855,3561.5604268132724,599.1204805170163
18035,Cádiar,1491,4.0,289873.67392418004,28.987367392418005,72468.41848104501,47845.98605357,192179.995015905,10021.766207809664,194.41560960709594
18178,Torre-Cardela,700,1.0,284947.11599401,28.494711599401,284947.11599401,284947.11599401,284947.11599401,4477.728887678502,407.06730856287146
18020,Arenas del Rey,608,2.0,281374.328932895,28.137432893289496,140687.1644664475,140687.1644664475,165960.05815871,5639.390993692281,462.78672521857726
18018,Alquife,543,2.0,278416.790713775,27.8416790713775,139208.3953568875,139208.3953568875,266595.801788045,8497.11757176266,512.7381044452578
18189,Víznar,1006,1.0,270579.48029726,27.057948029726,270579.48029726,270579.48029726,270579.48029726,5712.675644594848,268.9656861801789
18028,Benalúa de las Villas,1028,3.0,264554.90193260496,26.455490193260495,88184.96731086832,25989.455962085,224917.065638735,4574.679815883869,257.3491263935846
18143,Nigüelas,1229,1.0,263121.14902596,26.312114902596,263121.14902596,263121.14902596,263121.14902596,5219.975916406311,214.09369326766478
18049,Cogollos de Guadix,614,1.0,260025.344087825,26.002534408782502,260025.344087825,260025.344087825,260025.344087825,7344.325475578262,423.49404574564335
18051,Colomera,1278,1.0,253266.364389555,25.3266364389555,253266.364389555,253266.364389555,253266.364389555,8015.004678758797,198.17399404503522
18107,Jayena,979,1.0,252049.10813568,25.204910813568,252049.10813568,252049.10813568,252049.10813568,5544.953053883051,257.45567736024515
18034,Cacín,549,2.0,251633.08721880498,25.163308721880497,125816.54360940249,125816.54360940249,144582.216013785,4686.588243675884,458.34806415082875
18902,"Valle, El",941,1.0,248523.96962834,24.852396962834,248523.96962834,248523.96962834,248523.96962834,11738.080062138226,264.10623764967056
18072,Escúzar,826,1.0,245145.64353299,24.514564353299,245145.64353299,245145.64353299,245145.64353299,3171.3765731221783,296.78649338134386
18903,Nevada,1086,4.0,242871.147840105,24.287114784010498,60717.78696002625,47351.589027085,137570.42568721,12175.74033433374,223.63825767965469
18137,Montillana,1054,2.0,242424.172246695,24.2424172246695,121212.0861233475,121212.0861233475,223630.986630935,7417.344951955806,230.00395848832542
18154,"Peza, La",1104,2.0,239774.9402367,23.97749402367,119887.47011835,119887.47011835,195320.202358675,6525.537590952613,217.1874458665761
18069,Dólar,600,1.0,231185.95518309,23.118595518309,231185.95518309,231185.95518309,231185.95518309,3707.039228554433,385.30992530515
18064,Dehesas de Guadix,382,2.0,230921.627257985,23.0921627257985,115460.8136289925,115460.8136289925,228151.157331245,3201.45080990323,604.5068776387042
18076,Fonelas,965,2.0,220072.846814525,22.0072846814525,110036.4234072625,110036.4234072625,213309.89636391,3783.4097740765974,228.05476353836787
18038,Campotéjar,1218,1.0,217199.198394545,21.7199198394545,217199.198394545,217199.198394545,217199.198394545,5401.595772657599,178.3244650201519
18183,Válor,658,5.0,214974.409397395,21.4974409397395,42994.881879479,14499.46585537,154032.29111299,8958.259482427118,326.70882887142096
18004,Albondón,703,1.0,213613.192790615,21.3613192790615,213613.192790615,213613.192790615,213613.192790615,1948.351037674003,303.85944920428875
18010,Aldeire,597,2.0,211494.47810675,21.149447810675,105747.239053375,105747.239053375,207568.37338474,8860.790458954234,354.2621073814908
18915,Domingo Pérez de Granada,822,3.0,208363.28509348,20.836328509348,69454.42836449333,15829.54011392,180384.611765435,6448.061650349297,253.48331519888077
18133,Molvízar,2689,1.0,205222.216039685,20.5222216039685,205222.216039685,205222.216039685,205222.216039685,5284.743723959132,76.31915806607847
18065,Dehesas Viejas,635,1.0,202944.203523435,20.2944203523435,202944.203523435,202944.203523435,202944.203523435,5111.706647654579,319.59717090304724
18162,Polopos,1682,1.0,198536.81437464,19.853681437464,198536.81437464,198536.81437464,198536.81437464,7277.678223481554,118.03615598967896
18086,Gorafe,368,1.0,196191.159436165,19.6191159436165,196191.159436165,196191.159436165,196191.159436165,4840.023612235235,533.1281506417528
18024,Beas de Granada,1007,1.0,189223.652450875,18.9223652450875,189223.652450875,189223.652450875,189223.652450875,3826.430317447818,187.908294390144
18007,Albuñuelas,794,2.0,167357.00469118002,16.735700469118,83678.50234559001,83678.50234559001,147248.44676461,5634.067995334399,210.7770839939295
18141,Murtas,431,3.0,167292.51562743,16.729251562743,55764.171875809996,29570.991289895,109817.837760155,3519.459764641193,388.14968823069603
18117,Lanteira,533,2.0,157319.31525137,15.731931525136998,78659.657625685,78659.657625685,155200.073600855,3674.356353669183,295.15818996504686
18078,Freila,960,1.0,157318.997557605,15.7318997557605,157318.997557605,157318.997557605,157318.997557605,4709.848562558762,163.87395578917187
18002,Alamedilla,518,1.0,150962.6123494,15.09626123494,150962.6123494,150962.6123494,150962.6123494,2758.682337403622,291.4336145741313
18015,Alicún de Ortega,461,1.0,145957.386680535,14.595738668053501,145957.386680535,145957.386680535,145957.386680535,3162.99997940338,316.6103832549566
18909,Morelábor,588,2.0,141721.35829077,14.172135829077,70860.679145385,70860.679145385,93311.18926225,5609.532599481823,241.02271818158164
18106,Játar,631,3.0,132592.931390455,13.2592931390455,44197.64379681833,6587.036549955,123368.76610148,3710.498001496762,210.13142851102216
18032,Bubión,305,2.0,127554.955319715,12.7554955319715,63777.4776598575,63777.4776598575,111431.20938749,5383.302488833355,418.21296826136063
18128,Marchal,437,1.0,126994.366815865,12.6994366815865,126994.366815865,126994.366815865,126994.366815865,3852.594680225634,290.6049583887071
18077,Fornes,526,1.0,121467.22449909,12.146722449909001,121467.22449909,121467.22449909,121467.22449909,2858.200594005453,230.92628231766162
18148,Otívar,1011,1.0,115347.563983745,11.5347563983745,115347.563983745,115347.563983745,115347.563983745,5361.822830400996,114.09254597798714
18174,Santa Cruz del Comercio,523,2.0,109734.688251415,10.9734688251415,54867.3441257075,54867.3441257075,101628.090773555,5277.27500552254,209.817759562935
18042,Capileira,590,1.0,100753.1560469,10.07531560469,100753.1560469,100753.1560469,100753.1560469,5470.039009679753,170.76806109644068
18037,Calicasas,687,1.0,99749.0259639,9.97490259639,99749.0259639,99749.0259639,99749.0259639,3450.4940795716548,145.1950887393013
18074,Ferreira,297,1.0,93631.248377615,9.3631248377615,93631.248377615,93631.248377615,93631.248377615,2358.889110073879,315.25672854415825
18120,Lentegí,368,1.0,90275.07269731,9.027507269731,90275.07269731,90275.07269731,90275.07269731,2344.8345172278946,245.31269754703803
18103,Ítrabo,1022,1.0,89927.43569842,8.992743569842,89927.43569842,89927.43569842,89927.43569842,2420.1534219675345,87.99162005716242
18179,Torvizcón,608,1.0,76505.15265463,7.650515265463,76505.15265463,76505.15265463,76505.15265463,1580.2476208328007,125.83084318195723
18151,Pampaneira,312,3.0,73979.63278469,7.397963278469,24659.877594896665,3237.32763363,69684.925117665,3231.7567752203277,237.11420764323717
18181,Turón,203,1.0,71872.337600865,7.1872337600864995,71872.337600865,71872.337600865,71872.337600865,2499.4291037531257,354.0509241421921
18067,Diezma,829,1.0,67389.79840357,6.7389798403570005,67389.79840357,67389.79840357,67389.79840357,1678.59928405597,81.29046852059108
18124,Lújar,491,1.0,66468.25974254,6.646825974254,66468.25974254,66468.25974254,66468.25974254,1635.1261799431727,135.37323776484726
18001,Agrón,247,1.0,62405.076949095,6.2405076949095,62405.076949095,62405.076949095,62405.076949095,1185.3824648304155,252.65213339714575
18109,Jete,990,1.0,59455.679772265,5.9455679772265,59455.679772265,59455.679772265,59455.679772265,3433.395874629776,60.05624219420707
18916,Torrenueva Costa,3207,5.0,53930.946176565,5.3930946176565,10786.189235312999,8445.08170236,22338.45458864,2193.0275394833748,16.816634292661366
18040,Cáñar,424,1.0,43779.44941928,4.377944941928,43779.44941928,43779.44941928,43779.44941928,1507.650686404043,103.2534184416981
18070,Dúdar,382,1.0,36361.038294535,3.6361038294535,36361.038294535,36361.038294535,36361.038294535,1252.5687961787453,95.18596412181937
18176,Soportújar,260,1.0,26728.025444185,2.6728025444185,26728.025444185,26728.025444185,26728.025444185,1937.3290788005745,102.80009786225
18005,Albuñán,422,,,,,,,,
18016,Almegíjar,327,,,,,,,,
18904,Alpujarra de la Sierra,933,,,,,,,,
18025,Beas de Guadix,318,,,,,,,,
18033,Busquístar,313,,,,,,,,
18030,Bérchules,688,,,,,,,,
18043,Carataunas,207,,,,,,,,
18050,Cogollos de la Vega,2119,,,,,,,,
18044,Cástaras,178,,,,,,,,
18057,Cúllar Vega,7947,,,,,,,,
18063,Darro,1700,,,,,,,,
18066,Deifontes,2612,,,,,,,,
18083,Gobernador,231,,,,,,,,
18087,Granada,233975,,,,,,,,
18093,Gualchos,5284,,,,,,,,
18906,"Guájares, Los",1081,,,,,,,,
18084,Gójar,6371,,,,,,,,
18096,Huélago,343,,,,,,,,
18098,Huéscar,7241,,,,,,,,
18101,Huétor Vega,12285,,,,,,,,
18111,Jun,4103,,,,,,,,
18112,Juviles,140,,,,,,,,
18108,Jérez del Marquesado,955,,,,,,,,
18121,Lobras,139,,,,,,,,
18123,Lugros,306,,,,,,,,
18134,Monachil,8664,,,,,,,,
18144,Nívar,1093,,,,,,,,
18145,Ogíjares,15239,,,,,,,,
18153,Peligros,11725,,,,,,,,
18910,"Pinar, El",867,,,,,,,,
18161,Polícar,252,,,,,,,,
18159,Píñar,1040,,,,,,,,
18163,Pórtugos,372,,,,,,,,
18168,Quéntar,952,,,,,,,,
18170,Rubite,419,,,,,,,,
18175,Santa Fe,15494,,,,,,,,
18177,Sorvilán,521,,,,,,,,
18901,"Taha, La",777,,,,,,,,
18180,Trevélez,698,,,,,,,,
18185,Ventas de Huelma,667,,,,,,,,
18149,Villa de Otura,7696,,,,,,,,
18908,Villamena,1029,,,,,,,,
18184,Vélez de Benaudalla,3108,,,,,,,,
18192,Zafarraya,2244,,,,,,,,
18913,Zagra,845,,,,,,,,
18193,"Zubia, La",20389,,,,,,,,
