codigo_ine,n_poligonos_residenciales,superficie_residencial_m2,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,superficie_residencial_ha
18133,1,205222.216039685,205222.216039685,205222.216039685,205222.216039685,5284.743723959132,20.5222216039685
18065,1,202944.203523435,202944.203523435,202944.203523435,202944.203523435,5111.706647654579,20.2944203523435
18162,1,198536.81437464,198536.81437464,198536.81437464,198536.81437464,7277.678223481554,19.853681437464
18086,1,196191.159436165,196191.159436165,196191.159436165,196191.159436165,4840.023612235235,19.6191159436165
18024,1,189223.652450875,189223.652450875,189223.652450875,189223.652450875,3826.430317447818,18.9223652450875
18007,2,167357.00469118002,83678.50234559001,83678.50234559001,147248.44676461,5634.067995334399,16.735700469118
18141,3,167292.51562743,55764.171875809996,29570.991289895,109817.837760155,3519.459764641193,16.729251562743
18117,2,157319.31525137,78659.657625685,78659.657625685,155200.073600855,3674.356353669183,15.731931525136998
18078,1,157318.997557605,157318.997557605,157318.997557605,157318.997557605,4709.848562558762,15.7318997557605
18002,1,150962.6123494,150962.6123494,150962.6123494,150962.6123494,2758.682337403622,15.09626123494
18015,1,145957.386680535,145957.386680535,145957.386680535,145957.386680535,3162.99997940338,14.595738668053501
18909,2,141721.35829077,70860.679145385,70860.679145385,93311.18926225,5609.532599481823,14.172135829077
18106,3,132592.931390455,44197.64379681833,6587.036549955,123368.76610148,3710.498001496762,13.2592931390455
18032,2,127554.955319715,63777.4776598575,63777.4776598575,111431.20938749,5383.302488833355,12.7554955319715
18128,1,126994.366815865,126994.366815865,126994.366815865,126994.366815865,3852.594680225634,12.6994366815865
18077,1,121467.22449909,121467.22449909,121467.22449909,121467.22449909,2858.200594005453,12.146722449909001
18148,1,115347.563983745,115347.563983745,115347.563983745,115347.563983745,5361.822830400996,11.5347563983745
18174,2,109734.688251415,54867.3441257075,54867.3441257075,101628.090773555,5277.27500552254,10.9734688251415
18042,1,100753.1560469,100753.1560469,100753.1560469,100753.1560469,5470.039009679753,10.07531560469
18037,1,99749.0259639,99749.0259639,99749.0259639,99749.0259639,3450.4940795716548,9.97490259639
18074,1,93631.248377615,93631.248377615,93631.248377615,93631.248377615,2358.889110073879,9.3631248377615
18120,1,90275.07269731,90275.07269731,90275.07269731,90275.07269731,2344.8345172278946,9.027507269731
18103,1,89927.43569842,89927.43569842,89927.43569842,89927.43569842,2420.1534219675345,8.992743569842
18179,1,76505.15265463,76505.15265463,76505.15265463,76505.15265463,1580.2476208328007,7.650515265463
18151,3,73979.63278469,24659.877594896665,3237.32763363,69684.925117665,3231.7567752203277,7.397963278469
18181,1,71872.337600865,71872.337600865,71872.337600865,71872.337600865,2499.4291037531257,7.1872337600864995
18067,1,67389.79840357,67389.79840357,67389.79840357,67389.79840357,1678.59928405597,6.7389798403570005
18124,1,66468.25974254,66468.25974254,66468.25974254,66468.25974254,1635.1261799431727,6.646825974254
18001,1,62405.076949095,62405.076949095,62405.076949095,62405.076949095,1185.3824648304155,6.2405076949095
18109,1,59455.679772265,59455.679772265,59455.679772265,59455.679772265,3433.395874629776,5.9455679772265
18916,5,53930.946176565,10786.189235312999,8445.08170236,22338.45458864,2193.0275394833748,5.3930946176565
18040,1,43779.44941928,43779.44941928,43779.44941928,43779.44941928,1507.650686404043,4.377944941928
18070,1,36361.038294535,36361.038294535,36361.038294535,36361.038294535,1252.5687961787453,3.6361038294535
18176,1,26728.025444185,26728.025444185,26728.025444185,26728.025444185,1937.3290788005745,2.6728025444185
