OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
1393,18140,2.0,U.E. CAR-2,20939.04630607,794.3448647003088,Residencial
1394,18140,2.0,U.E. CAL-3,20184.56143568,595.0250001338947,Residencial
1395,18140,2.0,U.E. CAL-5,1416.98911482,174.96847281599344,Residencial
1396,18916,2.0,U.E. ANTIGUA U.A.15B,3919.764226735,283.8212398421925,Residencial
1397,18140,2.0,,299493.51438305,4991.271364024799,Residencial
1398,18916,2.0,S.L. TOR-3,2137.200286,190.2086511315146,Residencial
1399,18140,2.0,,279451.798401025,5216.889752939098,Residencial
1400,18140,2.0,U.E.,26059.118373495,967.7032934677981,Residencial
1401,18140,2.0,U.E. CAL-1,12747.073156115,454.1327599058806,Residencial
1402,18916,2.0,S.L. TOR-2,8445.08170236,372.86461548270756,Residencial
1403,18916,2.0,U.E. TOR-4,22338.45458864,628.8096050715901,Residencial
1404,18140,2.0,S.U.N.C. CAR-1,2047.43599129,388.4743186347702,Residencial
1405,18916,2.0,U.E. TOR-5,17090.44537283,717.3234279553698,Residencial
1406,18140,2.0,U.E.D. CAL-1,13870.95318317,712.7576134347506,Residencial
1408,18141,2.0,,109817.837760155,1730.0552342037927,Residencial
1409,18141,2.0,,27903.68657738,1055.9723895748414,Residencial
1410,18141,2.0,,29570.991289895,733.4321408625589,Residencial
1415,18143,2.0,,263121.14902596,5219.975916406311,Residencial
1438,18146,2.0,,465735.6089709,8864.17348033244,Residencial
1439,18146,2.0,,23762.320952635,673.5290496906168,Residencial
1440,18146,2.0,,17278.821550615,721.3574344889926,Residencial
1441,18146,2.0,,46160.37572153,1063.3496024931812,Residencial
1442,18146,2.0,,19057.68991908,644.1332733581004,Residencial
1443,18146,2.0,,58009.68285166,2194.5491165851886,Residencial
1444,18147,2.0,,653391.71229874,4574.226186843839,Residencial
1445,18148,2.0,,115347.563983745,5361.822830400996,Residencial
1447,18150,2.0,,1625682.434090665,19193.902320659738,Residencial
1454,18151,2.0,,69684.925117665,2815.216881443284,Residencial
1455,18151,2.0,,1057.380033395,132.14385013776587,Residencial
1456,18151,2.0,,3237.32763363,284.3960436392779,Residencial
1457,18152,2.0,,370307.81751789,4690.4614661023315,Residencial
1458,18154,2.0,,44454.737878025,1379.2212056548879,Residencial
1459,18154,2.0,,195320.202358675,5146.316385297725,Residencial
1461,18157,2.0,,210495.863056425,9894.528594951043,Residencial
1465,18157,2.0,,100796.29513844,2087.0399927598614,Residencial
1474,18158,2.0,,625129.334511825,12795.528063785327,Residencial
1484,18158,2.0,,91806.224646065,2788.316405688191,Residencial
1503,18158,2.0,,41680.12051386,1327.2476577994448,Residencial
1506,18158,2.0,,894986.912775925,21944.89119105581,Residencial
1560,18162,2.0,,198536.81437464,7277.678223481554,Residencial
1576,18164,2.0,,468676.136066425,9287.19731524133,Residencial
1589,18164,2.0,,91930.706836495,2587.7091545661046,Residencial
1594,18165,2.0,,774214.994427165,11103.878002092655,Residencial
1598,18167,2.0,,155066.08815658,6734.963331763603,Residencial
1600,18167,2.0,,173069.859123515,5502.179710198369,Residencial
1612,18171,2.0,,468924.098251865,10409.440380057935,Residencial
1614,18171,2.0,,630.467420515,102.79562266910999,Residencial
1638,18173,2.0,,2549806.20594744,37748.824768996055,Residencial
1650,18174,2.0,,8106.59747786,639.569507020328,Residencial
1652,18174,2.0,,101628.090773555,4637.705498502211,Residencial
1656,18178,2.0,,284947.11599401,4477.728887678502,Residencial
1657,18179,2.0,,76505.15265463,1580.2476208328007,Residencial
1662,18181,2.0,,71872.337600865,2499.4291037531257,Residencial
1666,18182,2.0,Las Canteras,13308.785195085,778.0022221932719,Residencial
1667,18182,2.0,,48906.403094315,2919.7947666603004,Residencial
1668,18182,2.0,Los Montoros,11194.1602131,553.8319813434642,Residencial
1669,18182,2.0,,63518.911247085,1895.869117030083,Residencial
1670,18182,2.0,,363841.536025405,10549.971320324243,Residencial
1671,18183,2.0,,7883.92641161,543.768381911197,Residencial
1672,18183,2.0,,154032.29111299,6078.392768017025,Residencial
1673,18183,2.0,,14499.46585537,525.9827950327208,Residencial
1674,18183,2.0,,34589.382523755,1519.9134166606477,Residencial
1675,18183,2.0,,3969.34349367,290.2021208055271,Residencial
1677,18187,2.0,,294168.155933855,3561.5604268132724,Residencial
1678,18188,2.0,,75164.08577402,1498.872797696939,Residencial
1679,18188,2.0,,325609.422800295,4901.415230727699,Residencial
1680,18189,2.0,,270579.48029726,5712.675644594848,Residencial
1684,18194,2.0,,32927.061094065,901.241935678808,Residencial
1685,18194,2.0,,509441.100276205,9948.968962259416,Residencial
1719,18902,2.0,,248523.96962834,11738.080062138226,Residencial
1721,18903,2.0,,10597.544098725,907.9863558076719,Residencial
1722,18903,2.0,,46749.160748635,1817.0951910578221,Residencial
1723,18903,2.0,,137570.42568721,7089.695438351248,Residencial
1724,18903,2.0,,47954.017305535,2360.9633491169966,Residencial
1742,18905,2.0,,3682034.79609754,40983.79038535671,Residencial
1769,18907,2.0,,624157.337543275,12198.587434055995,Residencial
1770,18907,2.0,,67.755437865,32.043524777668694,Residencial
1779,18907,2.0,,98832.32232328,2753.266997048031,Residencial
1781,18907,2.0,,1354.933259315,153.62637820657434,Residencial
1785,18909,2.0,,48410.16902852,1623.3583533185456,Residencial
1786,18909,2.0,,93311.18926225,3986.1742461632775,Residencial
1803,18911,2.0,,507042.1827857,10124.044855442698,Residencial
1811,18911,2.0,,1126050.49204845,15263.040898206104,Residencial
1813,18911,2.0,,312818.708409205,4785.346272836186,Residencial
1835,18912,2.0,,861990.633089165,13159.483462733971,Residencial
1844,18914,2.0,,594343.28770578,6009.348174477993,Residencial
1863,18915,2.0,,12149.133214125,846.0822635248635,Residencial
1865,18915,2.0,,180384.611765435,4865.672880547424,Residencial
1866,18915,2.0,,15829.54011392,736.3065062770099,Residencial
1869,18003,2.0,,2949835.53132449,42092.590074378,Residencial
1871,18176,2.0,,26728.025444185,1937.3290788005743,Residencial
1885,18126,2.0,,369787.50396414,7699.10960011567,Residencial
1889,18024,2.0,,189223.652450875,3826.4303174478187,Residencial
1891,18036,2.0,,970868.41718614,10763.56098432788,Residencial
1894,18037,2.0,,99749.0259639,3450.4940795716548,Residencial
1899,18048,2.0,,595273.93657457,10020.645298112597,Residencial
1953,18059,2.0,,940580.76074009,19400.21415153733,Residencial
1956,18079,2.0,,697791.062137475,24159.85901318227,Residencial
1988,18062,2.0,,1834448.24297774,15187.916314762771,Residencial
1998,18022,2.0,,3364039.55098121,37294.91923288099,Residencial
